ordinal_position,column_name,data_type
1,VendorID,text
2,tpep_pickup_datetime,text
3,tpep_dropoff_datetime,text
4,passenger_count,text
5,trip_distance,text
6,RatecodeID,text
7,store_and_fwd_flag,text
8,PULocationID,text
9,DOLocationID,text
10,payment_type,text
11,fare_amount,text
12,extra,text
13,mta_tax,text
14,tip_amount,text
15,tolls_amount,text
16,improvement_surcharge,text
17,total_amount,text
18,congestion_surcharge,text
19,Airport_fee,text
20,cbd_congestion_fee,text
21,_md5,text
22,_ingested_at,text
